Datum,Wochentag,isFerienZH,Ferien Desc ZH,isFerienSG,Ferien Desc SG,isFerienGR,Ferien Desc GR,Feiertag Desc,isFeiertag ZH,isFeiertag SG,isFeiertag GR,t_2m_c_avg,snow_depth_cm_avg,visibility_m_avg,wind_speed_10m_ms_max,prob_precip_1h_p_avg,prob_tstorm_1h_p_avg,hail_idx_avg,wind_gusts_10m_ms_max,wind_speed_mean_10m_24h_ms_avg,t_max_2m_24h_c_max,t_min_2m_24h_c_min,precip_24h_mm_max,fresh_snow_24h_cm_max,is_sleet_1h_idx_max,is_fog_1h_idx_max,precip_1h_mm_sum,fresh_snow_1h_cm_sum,wind_speed_mean_10m_1h_ms_avg,weather_symbol_1h_idx_spe,number_of_events,Schalter,Tel,Mail,Total Anfragen
01.01.2016,Freitag,0,,0,,0,,Neujahr,1,1,1,0.225,0.3,18397.725,1.375,1,1,0,2.1,1.2,2.6,-2.3,1.05,2.9,0,0,0,0,3.8,1.7,0,23,65,10,98
02.01.2016,Samstag,0,,0,,0,,Berchtoldstag,0,0,0,-0.05,0.225,21420.75,0.925,27.125,1,0,3,1,3.2,-1.5,0,0,0,1,1.7,2.1,3.6,0,0,72,65,18,155
03.01.2016,Sonntag,0,,0,,0,,,0,0,0,0.45,6.2,15970.125,1.625,5.1,1,0,3,1,1.6,-1.8,9.01,13.7,0,1,0.57,0.5,4.2,0,0,38,65,25,128
04.01.2016,Montag,0,,0,,0,,,0,0,0,0.075,9.05,28561,1.925,1.7,1,0,11.5,1.4,0.9,-3.1,0,0,0,0,0.08,0,8.9,0,0,65,65,50,180
05.01.2016,Dienstag,0,,0,,0,,,0,0,0,-1.875,9.375,28561,0.95,1,1,0,3.8,1.6,1,-5.7,0.64,0.6,0,0,0,0,5.9,1.1,0,31,65,40,136
06.01.2016,Mittwoch,0,,0,,0,,Heilige Drei Könige,0,0,1,-2.875,11.05,28561,1.325,1,1,0,1.6,1.3,1.7,-8.4,0,0,0,0,0,0,3.9,0,0,37,65,28,130
07.01.2016,Donnerstag,0,,0,,0,,,0,0,0,-1.725,13.625,23009.35,1.9,1,1,0,7,1.2,0.1,-8.2,0,0,0,0,0.03,0,5.7,0,0,29,65,29,123
08.01.2016,Freitag,0,,0,,0,,,0,0,0,-0.325,19.525,28561,1.75,1,1,0,3.7,1.4,-0.5,-7.4,7.26,13.4,0,0,0,0,5.9,0,0,39,65,33,137
09.01.2016,Samstag,0,,0,,0,,,0,0,0,1.35,16.125,21420.75,1.45,5.375,1,0,4.3,1.4,3,-6.4,0,0,0,1,0.44,0,4.1,0,0,43,65,17,125
10.01.2016,Sonntag,0,,0,,0,,,0,0,0,1.3,15.225,14280.5,1.55,1,1,0,8.9,1,3.3,-2.9,0.66,0,0,1,0,0,6.2,0,0,21,65,17,103
11.01.2016,Montag,0,,0,,0,,,0,0,0,2.325,16.875,16323.15,1.75,1,24.5,0,9,1.8,4.6,-2.9,0,0,0,1,0,0,10.2,0,0,34,65,54,153
12.01.2016,Dienstag,0,,0,,0,,,0,0,0,0.15,23.125,21420.75,1.225,1.75,13.9,0,4.3,2.5,3.6,-2,1.88,0.8,0,1,0.04,0,5,0,0,21,65,50,136
13.01.2016,Mittwoch,0,,0,,0,,,0,0,0,-1.525,34.525,21420.75,2.05,1,9.5,0,5.4,1.1,-0.6,-4.6,0.58,0.5,0,1,0,0,5.6,0.4,0,23,65,48,136
14.01.2016,Donnerstag,0,,0,,0,,,0,0,0,-3.675,40.175,28561,1.625,1,1,0,4.2,1.4,-2.6,-11.5,0,0,0,0,0,0,6.1,0.7,0,21,65,37,123
15.01.2016,Freitag,0,,0,,0,,,0,0,0,-3.05,39.5,28561,1.9,1,1,0,7,1.4,-0.9,-11.6,0,0,0,0,0,0,6.9,1.1,0,26,65,31,122
16.01.2016,Samstag,0,,0,,0,,,0,0,0,-4.825,41.8,28561,1.675,1,1,0,4.4,1.3,-3.9,-10.2,0,0,0,0,0,0,4.1,0,0,28,65,16,109
17.01.2016,Sonntag,0,,0,,0,,,0,0,0,-6.425,46.075,21420.75,3.15,1,1,0,7.8,1.4,-5.2,-10.1,0,0,0,1,0,0,10.1,0,0,25,65,35,125
18.01.2016,Montag,0,,0,,0,,,0,0,0,-9.7,47.3,28561,1.625,1,1,0,4.8,2.6,-7.8,-15.6,0,0,0,0,0,0,6,0,0,33,65,49,147
19.01.2016,Dienstag,0,,0,,0,,,0,0,0,-7.05,45.375,28561,1.125,1,1,0,2.7,1.2,-4.6,-17.1,0,0,0,0,0,0,5.9,0.9,0,20,65,37,122
20.01.2016,Mittwoch,0,,0,,0,,,0,0,0,-3.025,45.775,28561,1.45,1,1,0,3.4,1.3,-1.6,-15.2,0,0,0,0,0,0,4.6,0,0,23,65,43,131
21.01.2016,Donnerstag,0,,0,,0,,,0,0,0,-2.825,44.475,28561,1.375,1,1,0,3,1,-1.4,-9.6,0,0,0,0,0,0,4,0.4,0,15,65,42,122
22.01.2016,Freitag,0,,0,,0,,,0,0,0,-4.65,42.375,28561,0.825,1,1,0,3.1,1.2,-8.1,-8.5,0,0,0,0,0,0,5.7,1.6,0,35,65,25,125
23.01.2016,Samstag,0,,0,,0,,,0,0,0,-0.725,42.575,28561,1.725,1,1,0,4.6,1.5,2.6,-9.6,0,0,0,0,0,0,6.2,0,0,32,65,16,113
24.01.2016,Sonntag,0,,0,,0,,,0,0,0,0.825,40.55,28561,1.675,1,1,0,4.1,1.3,2.3,-7.4,0.61,0.8,0,0,0,0,5.9,0,0,40,65,16,121
25.01.2016,Montag,0,,0,,0,,,0,0,0,3.725,38.2,28561,1.05,1,1,0,3.1,1.5,6.4,-7.6,0,0,0,0,0,0,5.5,3.2,0,33,65,45,143
26.01.2016,Dienstag,0,,0,,0,,,0,0,0,3.85,37.425,28561,1.075,1,1,0,2.3,1.4,8,-2.1,0,0,0,0,0,0,5.7,2.3,0,33,65,23,121
27.01.2016,Mittwoch,0,,0,,0,,,0,0,0,2.6,35.375,28561,0.95,1,1,0,2.2,1.5,7.6,-3.2,0,0,0,0,0,0,5.7,2.7,0,15,65,35,115
28.01.2016,Donnerstag,0,,0,,0,,,0,0,0,2,36.525,28561,1.2,1,1,0,3,1.5,7.2,-4,0,0,0,0,0,0,5.8,0.7,0,22,65,36,123
29.01.2016,Freitag,0,,0,,0,,,0,0,0,3.25,38.05,28561,1.025,1,1,0,2.1,1.5,5.6,-3.8,0,0,0,0,0,0,5.2,0.5,0,29,65,27,121
30.01.2016,Samstag,0,,1,Sportferien,0,,,0,0,0,2.775,36,20258.9,2.225,1,1,0,2.9,1.3,5.2,-2.8,0,0,0,0,0,0,5.5,0,0,67,65,19,151
31.01.2016,Sonntag,0,,1,Sportferien,0,,,0,0,0,1.55,39.5,6674.05,1.675,47.05,1,0,4.9,1.3,-0.3,-2.9,2.17,5.8,0,0,3.92,6,5.6,0,0,56,65,22,143
01.02.2016,Montag,0,,1,Sportferien,0,,,0,0,0,5.35,41.625,22206.1,2.225,9.175,1,0,5.5,1.4,2,-0.8,11.09,11.1,1,0,0.7,0,4.9,1.6,0,41,65.6,27,133.6
02.02.2016,Dienstag,0,,1,Sportferien,0,,,0,0,0,4.675,37.375,28561,1.5,1,1,0,3.9,1.3,5.3,0.3,0.5,0,0,0,0,0,8,0.5,0,33,65.6,59,157.6
03.02.2016,Mittwoch,0,,1,Sportferien,0,,,0,0,0,-0.025,38.5,16618.4,2.625,17.325,1,0,8.5,1.8,4.6,-2.4,0,0,0,0,1.48,0,8.4,0,0,43,65.6,44,152.6
04.02.2016,Donnerstag,0,,1,Sportferien,0,,,0,0,0,-2.475,48.25,24788.675,1.575,5.275,1,0,4.1,2.1,2.2,-7.8,3.48,2.5,0,0,0.51,0.4,5.1,0,0,32,65.6,21,118.6
05.02.2016,Freitag,0,,1,Sportferien,0,,,0,0,0,0.125,62.425,28561,1.7,20.375,1,0,3.7,1.3,-0.7,-7,7.41,10.9,0,0,1.36,2.5,4.4,0,0,34,65.6,23,122.6
06.02.2016,Samstag,0,,1,Sportferien,0,,,0,0,0,-0.35,57.325,28561,1.975,1,1,0,6.9,1.1,2,-5.5,4.28,7.4,0,0,0,0,5.3,1.4,0,77,65.6,33,175.6
07.02.2016,Sonntag,0,,1,Sportferien,0,,,0,0,0,2.7,55.95,21420.75,2.9,4.825,1,0,9,1.7,5.7,-5.9,0,0,0,1,0.56,0,7.3,0,0,62,65.6,43,170.6
08.02.2016,Montag,0,,0,,0,,Fasnachtsmontag,1,1,1,1.18E+00,68.3,21420.75,2.15,1,1,0,5.1,1.5,4.3,-2.5,7.56,7.7,0,1,0,0,5.9,1.1,0,36,65.6,51,152.6
09.02.2016,Dienstag,0,,0,,0,,,0,0,0,3.425,64.825,28561,3.025,6.05,1,0,8.5,1.5,5.3,-3.8,0.54,0,0,0,0.46,0,7,0,0,51,65.6,44,160.6
10.02.2016,Mittwoch,0,,0,,0,,,0,0,0,-1.5,69.725,28561,2.95,4.325,1,0,6.5,1.6,4.6,-3,4.44,5.5,0,0,1.76,2.7,7,0.4,0,54,65.6,47,166.6
11.02.2016,Donnerstag,0,,0,,0,,,0,0,0,-5.55,70.375,28561,1.75,1,1,0,3.1,1.7,-1.1,-9.4,0.92,1.2,0,0,0,0,4.5,1.8,0,30,65.6,32,127.6
12.02.2016,Freitag,0,,0,,0,,,0,0,0,-3.8,68.575,28561,1.875,2.025,1,0,5.5,1.2,0.1,-11.2,0,0,0,0,0.21,0.2,5.5,2.7,0,35,65.6,27,127.6
13.02.2016,Samstag,1,Sportferien,0,,0,,,0,0,0,-1.7,69.875,28561,1.575,1,1,0,4.6,1.2,-1.1,-7.4,0.91,1.3,0,0,0,0,4.9,0.7,0,71,65.6,20,156.6
14.02.2016,Sonntag,1,Sportferien,0,,0,,Valentinstag,1,1,1,-0.075,70.375,21420.75,2.225,24.525,1,0,5.8,1.2,2.9,-4,0.29,0.3,0,1,2.35,4.2,7.8,0.8,0,96,65.6,39,200.6
15.02.2016,Montag,1,Sportferien,0,,0,,Fasnacht *,1,1,1,-0.35,71.7,28561,2.05,3.425,1,0,2.6,1.5,3.7,-4.8,3.6,0,0,0,0.2,0.4,4.5,0,0,58,65.6,50,173.6
16.02.2016,Dienstag,1,Sportferien,0,,0,,Fasnachtsdienstag *,1,1,1,-1.25,70.675,28561,2.75,1,1,0,2,1.1,1,-6.3,0.78,1.2,0,0,0,0,4.5,0,0,54,65.6,35,154.6
17.02.2016,Mittwoch,1,Sportferien,0,,0,,Fasnachtsmittwoch *,1,1,1,-1,68.95,28561,1.625,1,1,0,2.3,1.3,-0.1,-6.1,0,0,0,0,0,0,5.6,0.3,0,47,65.6,42,154.6
18.02.2016,Donnerstag,1,Sportferien,0,,0,,,0,0,0,-0.625,67.875,28561,1.425,1,1,0,3.2,1.1,3.7,-6.9,0,0,0,0,0,0,3.7,2.1,0,41,65.6,43,149.6
19.02.2016,Freitag,1,Sportferien,0,,0,,,0,0,0,-1.45,67.425,28561,2.35,1,1,0,2.2,1.1,4.2,-7.8,0,0,0,0,0,0,4.3,0,0,33,65.6,46,144.6
20.02.2016,Samstag,1,Sportferien,0,,0,,,0,0,0,-3.15,70.375,21420.75,1.75,23.275,1,0,5.2,1.1,-0.9,-9.7,0,0,0,1,0.91,2.3,4.1,0,0,56,65.6,21,142.6
21.02.2016,Sonntag,1,Sportferien,0,,0,,,0,0,0,3.975,74.425,22170.05,1.875,1.975,1,0,6.4,1.1,2.9,-10.4,11.14,0,0,0,0.04,0,4.7,2.6,0,59,65.6,39,163.6
22.02.2016,Montag,1,Sportferien,0,,0,,,0,0,0,6.725,66.325,28561,1.875,1,1,0,4.8,1.3,8.4,-1.6,0.81,0,0,0,0,0,6.5,0.9,0,53,65.6,32,150.6
23.02.2016,Dienstag,1,Sportferien,0,,0,,,0,0,0,3.075,64.125,14302.975,2.375,27.5,1,0,3.4,1.7,10.1,0.7,4.02,5.1,1,1,3.6,0,5.6,0,0,51,65.6,38,154.6
24.02.2016,Mittwoch,1,Sportferien,0,,0,,,0,0,0,0.375,64.175,28561,2.225,1,1,0,4.3,1.4,4.5,-3.3,5.3,1.1,0,0,0,0,6,0,0,36,65.6,33,134.6
25.02.2016,Donnerstag,1,Sportferien,0,,0,,,0,0,0,0.7,64.575,28561,3.075,3.675,1,0,3,1.3,2.3,-7.8,0,0,0,0,0.29,0,5.3,0,0,38,65.6,40,143.6
26.02.2016,Freitag,1,Sportferien,0,,0,,,0,0,0,0.85,63.3,24788.675,2.4,1,1,0,4.3,1.5,2.9,-4.7,0.29,0,0,0,0,0,6.3,0,0,31,65.6,34,130.6
27.02.2016,Samstag,1,Sportferien,0,,1,Sportferien,,0,0,0,2.35,64.125,28561,1.425,1,1,0,5.7,1.4,3.8,-7,0,0,0,0,0,0,4.4,0.4,0,65,65.6,27,157.6
