datum,wochentag,isferienzh,ferien desc zh,isferiensg,ferien desc sg,isferiengr,ferien desc gr,feiertag desc,isfeiertag zh,isfeiertag sg,isfeiertag gr,t_2m_c_avg,snow_depth_cm_avg,visibility_m_avg,wind_speed_10m_ms_max,prob_precip_1h_p_avg,prob_tstorm_1h_p_avg,hail_idx_avg,wind_gusts_10m_ms_max,wind_speed_mean_10m_24h_ms_avg,t_max_2m_24h_c_max,t_min_2m_24h_c_min,precip_24h_mm_max,fresh_snow_24h_cm_max,is_sleet_1h_idx_max,is_fog_1h_idx_max,precip_1h_mm_sum,fresh_snow_1h_cm_sum,wind_speed_mean_10m_1h_ms_avg,weather_symbol_1h_idx_spe,number_of_events,schalter,tel,mail,total anfragen
2019-09-30,Montag,0,NA,1,Herbstferien,0,NA,NA,0,0,0,10.275,0,30020.5,3.3,1,1,0,6.8,3.7,17.6,4.3,0,0,0,0,0,0,13.4,0.5,0,42,NA,21,63
2019-09-29,Sonntag,0,NA,1,Herbstferien,0,NA,NA,0,0,0,10.425,0,24621.5,2.275,1,2.125,0,8.1,5.2,10.9,6.2,0,0,0,0,0,0,9.9,1.4,0,0,NA,7,7
2019-09-28,Samstag,0,NA,0,NA,0,NA,NA,0,0,0,9.2,0,28196.75,3.525,1,2.95,0,7.8,2.1,15.9,5.1,0,0,0,0,0,0,14.2,0.4,0,52,NA,6,58
2019-09-27,Freitag,0,NA,0,NA,0,NA,NA,0,0,0,10.7,0,30021,1.225,1,5.625,0,3.5,1.5,12.4,4.3,1.11,0,0,0,0,0,6,0.7,0,21,NA,10,31
2019-09-26,Donnerstag,0,NA,0,NA,0,NA,NA,0,0,0,8,0,30023.25,2.225,1,1,0,2.2,3.5,9.9,4.6,3.01,0,0,0,0.03,0,8.1,0,0,15,NA,10,25
2019-09-25,Mittwoch,0,NA,0,NA,0,NA,NA,0,0,0,7.325,0,26624,3.075,7.725,8.1,0,6.8,2.6,14.7,0.9,0.11,0,0,0,0.72,0,11.9,1.6,0,18,NA,24,42
2019-09-24,Dienstag,0,NA,0,NA,0,NA,NA,0,0,0,6.7,0,30022.5,1.925,1,1,0,6.7,5.1,12.2,1.2,30.14,0,0,0,0.04,0,8.3,0.8,0,9,NA,15,24
2019-09-23,Montag,0,NA,0,NA,0,NA,Herbstanfang,1,1,1,6.9,0,16071,3.275,34.075,2.475,0,10.4,3.5,16.7,7.9,0.28,0,0,0,5.64,0,13.7,1.2,0,32,NA,24,56
2019-09-22,Sonntag,0,NA,0,NA,0,NA,NA,0,0,0,12.525,0,25620,2.375,5.3,1.225,0,5.8,3.3,19.1,3.8,0.03,0,0,0,0.27,0,8.3,1,0,0,NA,9,9
2019-09-21,Samstag,0,NA,0,NA,0,NA,NA,0,0,0,9.95,0,30020.75,1.775,1,3.15,0,5.8,2.8,13.2,2.9,0,0,0,0,0,0,7.8,0,0,28,NA,6,34
2019-09-20,Freitag,0,NA,0,NA,0,NA,NA,0,0,0,7.675,0,28022,2.175,1,1,0,1.9,3.9,11.6,3.8,0,0,0,0,0,0,9.9,1.8,0,19,NA,24,43
2019-09-19,Donnerstag,0,NA,0,NA,0,NA,NA,0,0,0,7.425,0,24719.25,3.8,1,1,0,4.5,5.2,12.7,6.1,0,0,0,0,0,0,12.9,0,0,24,NA,10,34
2019-09-18,Mittwoch,0,NA,0,NA,0,NA,NA,0,0,0,10.175,0,30021.75,4.225,1,1,0,8.7,4.2,17.5,8.2,0,0,0,0,0,0,15.7,0,0,27,NA,10,37
2019-09-17,Dienstag,0,NA,0,NA,0,NA,NA,0,0,0,13.175,0,30023.25,4.125,1,1.025,0,8.5,3.5,20.2,8.1,0,0,0,0,0,0,16.9,2.5,0,30,NA,20,50
2019-09-16,Montag,0,NA,0,NA,0,NA,NA,0,0,0,13.65,0,30027.75,3.175,1,14.075,0,4.7,3.6,20.1,7.4,0,0,0,0,0,0,12.1,1.2,0,28,NA,27,55
2019-09-15,Sonntag,0,NA,0,NA,0,NA,"Eidg. Dank-, Buss- und Bettag",1,1,1,12.9,0,22526.75,3,1,19.625,0,6.3,3.3,21,6.1,0,0,0,1,0,0,12.9,2.9,0,0,NA,3,3
2019-09-14,Samstag,0,NA,0,NA,0,NA,NA,0,0,0,12.75,0,30022.25,2.85,1,11.2,0,4,3.8,21.2,4.2,0,0,0,0,0,0,12.3,1.3,0,36,NA,5,41
2019-09-13,Freitag,0,NA,0,NA,0,NA,NA,0,0,0,12.725,0,24577.25,3.55,1,1,0,8.7,3.6,17.9,5.6,0,0,0,0,0,0,14,1.6,0,39,NA,16,55
2019-09-12,Donnerstag,0,NA,0,NA,0,NA,NA,0,0,0,11.175,0,30014.5,2.425,1,1,0,7,4,15.3,4.1,0.03,0,0,0,0,0,10.1,1.8,0,15,NA,17,32
2019-09-11,Mittwoch,0,NA,0,NA,0,NA,NA,0,0,0,10.05,0,30028.75,3.55,1,4.275,0,8.3,2.4,14.4,2.6,0,0,0,0,0,0,16,4.6,0,13,NA,23,36
2019-09-10,Dienstag,0,NA,0,NA,0,NA,NA,0,0,0,8.225,0,30028.25,1.725,1,1,0,5.5,3.8,9.9,1.1,1.1,0,0,0,0,0,11.4,0.9,0,13,NA,21,34
